bldg_guid,source,target,travel_time
0000df4a-daa1-4904-b13f-29f63d24da93,9cdb2096-2291-4086-9216-b52947c3e462,14a2bce3-b377-43cb-b060-7e9575c49453,5.851431674733839
00024cf2-9661-490a-8790-1c76f7ec8a9f,cc947bd4-0c47-4b38-a6cd-4c62578e3a8a,14a2bce3-b377-43cb-b060-7e9575c49453,6.882952876629057
00030678-498b-471c-9f93-c03d1720bfb0,e59025a7-83ef-40dd-8dc4-52a8b1d8dab1,90c79ebe-567d-4458-a82e-b0f66066fee0,9.447472427688961
0004b1f3-011c-46d1-870b-99134119b878,3b240295-92d7-4a2e-8fcc-2558c448d10b,90c79ebe-567d-4458-a82e-b0f66066fee0,7.939405548014659
0007f6dd-6e38-4d38-b016-53c1a4db699b,d1dcdd02-2539-449f-8df1-fdd9d175e16b,14a2bce3-b377-43cb-b060-7e9575c49453,5.987840129265029
000dddad-e73b-4503-bd85-ddae8443d2d5,aa573933-cccb-49c6-8187-dc2caed71d66,14a2bce3-b377-43cb-b060-7e9575c49453,5.163891977991388
00160f8d-6df6-4318-83e3-a5d76ed11d0e,a21670e8-df1e-492e-8edb-0c360c7e609e,14a2bce3-b377-43cb-b060-7e9575c49453,4.223448808955697
00177104-5d45-4127-85fb-15b4511def82,2f62d9cb-53ae-4c93-82e7-ca61daccc9cc,90c79ebe-567d-4458-a82e-b0f66066fee0,11.264631386038868
001a44a4-af7f-4b39-a8a0-34110de65396,6b7d9063-99c1-4070-9449-682f11dde104,90c79ebe-567d-4458-a82e-b0f66066fee0,17.81670544022906
001beea9-2c74-4852-95fd-e0bc3e263453,307a648d-aa22-4454-84e8-bc1e2f81d5e3,14a2bce3-b377-43cb-b060-7e9575c49453,5.031425865800866
001c0d05-971a-4cdb-96cd-255f91946a8e,27911b9f-7d0d-45fa-963f-8b9ef690c515,14a2bce3-b377-43cb-b060-7e9575c49453,7.9088054210179015
001d0902-95aa-498e-87a6-d045f50305b8,aa601163-f322-4b33-add2-bcb255682c59,90c79ebe-567d-4458-a82e-b0f66066fee0,10.646636144913703
001e6784-972f-4ac8-8fc8-0fdcd118b347,39618ff8-5928-4e8f-8740-7a27de4ffb9f,14a2bce3-b377-43cb-b060-7e9575c49453,6.289753257642037
0020b9e6-49b5-4e62-b984-d22b8a36e801,e9beebc7-4285-4c6b-9d16-fdfa3555e9e8,14a2bce3-b377-43cb-b060-7e9575c49453,6.474587476189727
002a4efa-a5f3-4452-a7e7-ef5169463186,619af597-a383-4310-97a9-a6e829534c7f,14a2bce3-b377-43cb-b060-7e9575c49453,14.376666340625512
002ac113-270c-4f49-8942-7ced6fba42e1,2186decb-f937-401c-8b05-c6d566b2e7c8,14a2bce3-b377-43cb-b060-7e9575c49453,17.701789478642343
002e3e95-bce5-411d-83df-406f45512b4e,7364a9a3-4130-4048-a250-b16c553e025d,14a2bce3-b377-43cb-b060-7e9575c49453,6.965335157591564
002ea256-0be1-44dc-b810-09f1131c4a38,e36f0ddd-c774-49c9-a153-483d85b54a25,14a2bce3-b377-43cb-b060-7e9575c49453,4.773047699056557
0031a378-75f2-4e46-800b-cd0c68065550,7e6cef80-8203-45e2-a1b7-ce60ab80d20d,14a2bce3-b377-43cb-b060-7e9575c49453,8.136257766548118
00392fb4-2495-414d-9456-f09f6f73a53b,f86fd29d-762b-47ef-b326-e8fe760dec08,14a2bce3-b377-43cb-b060-7e9575c49453,2.1085176408414408
003ea816-25d1-4c5c-866f-6651ba029434,02ba405c-74ab-4af5-85b7-92e14250dd64,14a2bce3-b377-43cb-b060-7e9575c49453,6.4981269791115395
003ebdf6-8ca0-4d83-bccc-a11e94b5fa99,0c815318-401d-45e3-8630-1c14bec86a81,14a2bce3-b377-43cb-b060-7e9575c49453,12.644864042238565
0042e72b-8781-489e-8674-e79b35bbc298,ee4deba5-341b-4f0a-bc4e-2f048bb785e6,14a2bce3-b377-43cb-b060-7e9575c49453,4.593441622354024
00432d2f-a995-4d0e-aac0-164cbb14f742,3af50d8f-0485-4724-9df1-16ca21df50a1,14a2bce3-b377-43cb-b060-7e9575c49453,6.1962811569275775
0048052c-5d22-4257-a3ab-a75ba7b99083,2466b3d2-fedf-448b-a712-f19c83daf804,90c79ebe-567d-4458-a82e-b0f66066fee0,10.37881082923872
0049834a-00b8-4087-92b6-5e5f8cfad030,9cdb2096-2291-4086-9216-b52947c3e462,14a2bce3-b377-43cb-b060-7e9575c49453,5.851431674733839
004eb0b1-0bc0-4a94-816f-0c6cfc8eb2bf,f9fc036b-6936-4174-8286-634661b413e1,14a2bce3-b377-43cb-b060-7e9575c49453,4.573566977425576
